epoch,train_loss,train_ctc_loss,train_decoder_loss,valid_loss,valid_ctc_loss,valid_decoder_loss,valid_wer,valid_cer
1,63.81443129809231,249.0348334806227,6.222891910735754,55.88507339689467,106.43483776516385,5.33530941274431,100.0,100.0
2,26.4361761526494,101.71684807566623,4.027856508030958,52.3695576455858,101.83584700690375,2.903268641895718,100.0,100.0
3,25.559094327310508,100.12939881172947,2.1069785981126694,51.42203866110908,101.34587256113689,1.4982044994831085,100.0,100.0
4,25.1502411369194,99.55836235058179,1.0426021308582016,50.77336094114516,100.8327407836914,0.7139813245998489,100.0,99.86823952504224
5,24.903269922530633,99.13913955570557,0.4739400963694825,50.338181018829346,100.35194651285808,0.32441501195232075,99.88054947242684,99.87444001798143
6,24.730255292040486,98.70691433277159,0.21410676401678524,49.99397341410319,99.8274138768514,0.16053359200143152,99.80755192779878,99.564415371022
7,24.61002696094778,98.32651085241869,0.11359716667988017,49.88979376686944,99.68312083350287,0.09646661351952288,99.3231136770854,94.34980080916434
8,24.49263047656099,97.89394947034314,0.07657243830757864,49.55600346459283,99.03835773468018,0.07364904621822967,98.96476209436592,95.25817302475546
9,24.289422548167305,97.09487661512041,0.06281366579269147,48.93703603744507,97.81039375729031,0.0636783877077202,98.75904174132324,95.19926834183318
10,23.90186484924977,95.55055019844444,0.056908973252294236,47.89425399568346,95.73065238528781,0.05785597452066011,98.048974716305,93.85996186696842
11,23.21771493761396,92.81814783912907,0.05271186946763137,45.89749738905165,91.74111790127225,0.05387705864591731,97.05355365319531,88.69960161832866
12,22.012772372922353,88.00116370671314,0.04992575342356698,43.64782524108887,87.24364397260878,0.05200671942697631,92.74006237971996,68.96653283936072
13,21.452892145749406,85.76295273676169,0.04861568543812407,41.7661190032959,83.48174942864313,0.0504885498020384,90.862034640653,67.21334346080513
14,20.577960823566137,82.26435149839894,0.04749180156582106,40.54816251330905,81.04671891530354,0.04960586653194494,90.09224235184816,66.81031141975787
15,20.087872065937685,80.30484841301048,0.04663989189119759,39.01759796672397,77.98695225185818,0.04824371718698078,88.34030128077511,64.46032459580536
16,19.18369049266833,76.68913932930005,0.04562269311277354,37.262121465471054,74.47685978147719,0.04738359530973765,85.93801844847036,61.44843515059447
17,18.65175778125132,74.5625587946849,0.04447245059485966,35.530740075641205,71.01533455318875,0.04614536174469524,83.74809210962904,59.44567593123653
18,17.90204136743796,71.5645927240528,0.04357261187073068,35.07488836182488,70.10444037119548,0.04533662895361582,84.0998075519278,60.13548077072127
19,16.983274691255975,67.89065091281991,0.042447933883994954,32.49222543504503,64.94137658013238,0.04307437015490399,80.08494259738535,56.03230456821318
20,15.937987041620788,63.71062184117124,0.04132638950551496,31.51307503382365,62.983017179701065,0.04313295831282934,79.49432609994027,54.231061369378864
21,16.116675774870554,64.42674362677879,0.039959564914428834,30.40763211250305,60.7740871641371,0.04117730368549625,76.5744243148185,52.268605354125654
22,15.260043436076947,61.001582609999126,0.038591209942996044,28.82279944419861,57.60526906119453,0.04033000053217014,73.95978498905038,49.669048689370804
23,14.152477960866607,56.57256449208562,0.03734733406713425,27.312920358445908,54.58644051022,0.03940025204792619,71.52432145464198,47.64458774472571
24,13.767581077410597,55.03375846709498,0.0365659145600921,26.448979139328003,52.85976801978217,0.03819062291747994,69.79228880483112,45.93945218644882
25,13.149366362570243,52.56210660271151,0.035358888547654496,25.905010753207737,51.772018326653374,0.038003163360473186,69.52684318800186,45.255847839903275
26,12.43202823907183,49.69340014273453,0.03471284437135806,22.68692045741611,45.33715746137831,0.03668339392687711,62.51244276328887,39.10340872099332
27,11.253578648132372,44.98001830913184,0.034296320356900764,20.223817825317383,40.4122613535987,0.03537433056367768,55.8630300617161,34.07170870084172
28,9.442453009267863,37.73544454206086,0.03436749003009966,17.23464032014211,34.4329174624549,0.036363238365285926,49.50560753865552,28.996605230115797
29,8.466179222006701,33.831233267806226,0.0334836951553407,15.782131499714321,31.530456834369236,0.03380617576961716,45.65000995421063,26.4792050968052
30,7.881012077125184,31.492502298016085,0.031546061193510035,17.047303477923077,34.06193004714118,0.0326769331521872,48.961444024155554,29.050859543333697
31,8.24964992635217,32.96844003373725,0.030159665904996753,17.77490026421017,35.51882449785868,0.030975963739264343,50.56739000597253,29.98868410038598
32,7.956440798097637,31.797576783429342,0.028186374469163614,15.407634960280525,30.785264889399212,0.030005102511495352,44.939942929192384,25.27630946660259
33,7.246034187364062,28.956279287382475,0.027857466144530444,13.52224153942532,27.014822085698444,0.029661013848251767,42.670382905302276,23.86259707646758
34,6.317152150815938,25.240605150897867,0.028003469440608157,12.635395665963491,25.24168372154236,0.029107625285784405,39.63103059260734,21.83813613182248
35,6.014856439838085,24.03239077136174,0.027034980283799644,13.150927080048454,26.274308919906616,0.02754513404539062,40.533545689826795,22.57599479158593
36,5.908407054323317,23.60816370243267,0.02546452028443677,13.234627160761091,26.443560348616707,0.02569392822786338,41.16397902979627,23.414611461611198
37,5.549700367026941,22.17403375457575,0.024767684783366217,12.050408045450846,24.074329084820217,0.026487051664541166,38.18435198088792,20.625939762211097
38,5.08705231911248,20.32312582007147,0.0250834632964324,11.292007757557762,22.557340476248,0.026674980711605813,36.60495056075387,19.460247089643627
39,4.829474639671479,19.293418788467715,0.024479739906315273,11.004315634568533,21.982544408904182,0.026086891199358635,35.25117791492468,18.651082761079508
40,4.4448901236149405,17.755398962560356,0.02416151908544429,11.140853159957462,22.256572484970093,0.025133792543783784,36.6978565266441,19.936134922726357
41,4.467012175820894,17.84532050555788,0.022728209129003505,11.321181654930115,22.61864369445377,0.023719651935001213,36.2731435397173,19.430794748182482
42,4.427987089849882,17.689857729067207,0.02209064626124856,10.981654359234703,21.938584831025864,0.02472391093356742,36.757581790430685,19.636961138410502
43,4.147990364379824,16.569687429130354,0.022274052217556666,10.998315023051369,21.97274401452806,0.02388598529311518,34.84637334926007,18.623180542853156
44,4.0198976026252025,16.057319826099565,0.022270578470720205,10.652150564723545,21.280946996476914,0.023354171723541286,34.972460017253965,18.486769698191004
45,3.7268528580849836,14.885009831217747,0.022401590953930822,10.841151727570427,21.658219271235996,0.024084042706009414,35.072002123564936,18.809195331028818
46,3.6196061811270264,14.456497256501565,0.021927435273503226,10.901432189676497,21.78010556432936,0.022758743725717068,36.35277722476607,19.39204166731255
47,3.384593673614667,13.516302849446788,0.02207182941114792,10.21873422463735,20.4137757619222,0.02369268662813637,33.996947375406464,18.51157166994776
48,3.1617879405087996,12.625124393327527,0.022027377053588582,10.296162704626719,20.56947996881273,0.022845407844417624,34.69374211958325,18.979708886856507
49,3.025222450725078,12.079855123664348,0.021034671779624092,10.042390551831987,20.062459296650356,0.022321766035424337,32.46399893821753,17.13971260715227
50,2.7764472522912476,11.085130677525374,0.02065833931762892,10.044294867250654,20.066654827859665,0.02193494617111153,34.03012807751012,18.488319821425804
